iter	Passed	Remaining
236	596	3177
237	598	3174
238	600	3169
239	602	3165
240	605	3160
241	607	3155
242	609	3152
243	612	3151
244	614	3147
245	616	3142
246	618	3138
247	620	3134
248	623	3130
249	625	3125
250	627	3120
251	629	3116
252	631	3111
253	633	3107
254	637	3113
255	642	3121
256	646	3125
257	648	3120
258	650	3118
259	653	3114
260	656	3117
261	659	3117
262	663	3119
263	666	3118
264	670	3123
265	673	3125
266	677	3126
267	679	3121
268	682	3123
269	685	3121
270	687	3116
271	690	3117
272	692	3113
273	695	3112
274	697	3109
275	700	3104
276	704	3108
277	706	3104
278	708	3102
279	711	3098
280	713	3096
281	716	3092
282	718	3088
283	720	3085
284	722	3081
285	725	3077
286	728	3076
287	730	3073
288	733	3073
289	735	3070
290	738	3066
291	741	3065
292	743	3062
293	746	3060
294	748	3056
295	750	3052
296	753	3051
297	755	3046
298	758	3046
299	760	3043
300	763	3039
301	765	3035
302	767	3031
303	769	3028
304	772	3025
305	774	3020
306	778	3023
307	780	3019
308	782	3015
309	785	3013
310	787	3009
311	790	3008
312	792	3004
313	794	3000
314	796	2997
315	798	2993
316	801	2989
317	803	2986
318	805	2982
319	807	2978
320	810	2976
321	812	2972
322	815	2970
323	817	2967
324	819	2963
325	822	2962
326	824	2958
327	826	2954
328	829	2951
329	831	2948
330	834	2945
331	836	2941
332	838	2937
333	840	2933
334	842	2929
335	844	2925
336	846	2921
337	849	2919
338	851	2914
339	853	2913
340	858	2916
341	860	2915
342	864	2915
343	868	2919
344	871	2915
345	874	2916
346	877	2917
347	881	2917
348	883	2913
349	886	2911
350	888	2907
351	890	2904
352	893	2904
353	896	2900
354	898	2899
355	900	2895
356	903	2891
357	906	2890
358	908	2886
359	910	2883
360	912	2880
361	915	2877
362	918	2876
363	920	2873
364	922	2868
365	925	2867
366	927	2863
367	929	2859
368	931	2856
369	933	2852
370	936	2848
371	938	2846
372	940	2842
373	944	2842
374	946	2839
375	948	2835
376	950	2832
377	952	2828
378	955	2826
379	958	2823
380	960	2820
381	963	2818
382	965	2814
383	967	2810
384	969	2808
385	971	2804
386	973	2801
387	978	2803
388	982	2805
389	984	2802
390	987	2800
391	989	2797
392	991	2793
393	994	2793
394	997	2789
395	999	2785
396	1001	2782
397	1004	2780
398	1006	2776
399	1008	2773
400	1011	2772
401	1015	2772
402	1017	2769
403	1020	2769
404	1022	2765
405	1024	2761
406	1027	2758
407	1028	2753
408	1031	2750
409	1034	2750
410	1036	2746
411	1039	2744
412	1041	2740
413	1043	2736
414	1045	2733
415	1047	2730
416	1049	2726
417	1052	2725
418	1055	2722
419	1058	2720
420	1060	2717
421	1062	2713
422	1066	2715
423	1068	2712
424	1072	2712
425	1074	2708
426	1076	2706
427	1079	2703
428	1081	2700
429	1084	2697
430	1086	2694
431	1088	2691
432	1092	2692
433	1094	2688
434	1097	2687
435	1099	2684
436	1101	2680
437	1104	2676
438	1106	2673
439	1108	2669
440	1110	2666
441	1112	2662
442	1114	2659
443	1116	2655
444	1119	2654
445	1122	2653
446	1135	2674
447	1138	2673
448	1140	2669
449	1142	2666
450	1145	2664
451	1147	2660
452	1149	2657
453	1151	2653
454	1155	2653
455	1157	2650
456	1159	2646
457	1164	2649
458	1168	2650
459	1171	2647
460	1179	2657
461	1183	2659
462	1186	2657
463	1189	2655
464	1191	2652
465	1197	2656
466	1215	2687
467	1219	2689
468	1226	2695
469	1229	2695
470	1233	2694
471	1236	2694
472	1240	2692
473	1242	2689
474	1245	2687
475	1247	2684
476	1251	2683
477	1253	2680
478	1256	2678
479	1258	2675
480	1262	2673
481	1264	2670
482	1267	2669
483	1270	2666
484	1273	2664
485	1275	2660
486	1277	2657
487	1280	2655
488	1283	2652
489	1285	2649
490	1288	2647
491	1290	2644
492	1294	2643
493	1296	2640
494	1300	2639
495	1302	2636
496	1305	2634
497	1307	2631
498	1310	2628
499	1312	2625
500	1315	2623
501	1318	2621
502	1320	2617
503	1323	2614
504	1325	2611
505	1327	2607
506	1332	2609
507	1334	2605
508	1337	2603
509	1339	2600
510	1342	2598
511	1346	2597
512	1348	2594
513	1351	2592
514	1353	2588
515	1356	2587
516	1358	2583
517	1360	2579
518	1363	2576
519	1365	2572
520	1369	2572
521	1371	2570
522	1373	2566
523	1376	2564
524	1378	2560
525	1383	2561
526	1386	2560
527	1389	2557
528	1391	2553
529	1393	2550
530	1396	2548
531	1398	2545
532	1400	2541
533	1403	2538
534	1405	2534
535	1407	2531
536	1409	2527
537	1412	2525
538	1414	2521
539	1416	2518
540	1418	2514
541	1420	2510
542	1423	2508
543	1425	2504
544	1427	2500
545	1430	2499
546	1432	2496
547	1436	2495
548	1438	2492
549	1440	2488
550	1443	2486
551	1445	2482
552	1447	2479
553	1449	2475
554	1451	2472
555	1454	2469
556	1456	2465
557	1458	2462
558	1461	2459
559	1463	2456
560	1467	2456
561	1469	2453
562	1472	2450
563	1474	2447
564	1476	2444
565	1479	2441
566	1482	2439
567	1485	2437
568	1488	2434
569	1490	2431
570	1492	2428
571	1496	2427
572	1498	2424
573	1501	2421
574	1503	2418
575	1506	2416
576	1508	2413
577	1511	2411
578	1514	2408
579	1516	2406
580	1519	2402
581	1523	2403
582	1525	2399
583	1528	2397
584	1530	2394
585	1533	2391
586	1536	2389
587	1538	2386
588	1540	2383
589	1543	2380
590	1545	2377
591	1548	2375
592	1550	2372
593	1553	2368
594	1556	2367
595	1560	2366
596	1563	2364
597	1565	2361
598	1568	2358
599	1570	2355
600	1573	2353
601	1576	2351
602	1578	2347
603	1581	2345
604	1583	2342
605	1586	2339
606	1588	2336
607	1590	2333
608	1593	2332
609	1596	2328
610	1599	2326
611	1601	2323
612	1603	2320
613	1607	2319
614	1609	2316
615	1612	2314
616	1615	2311
617	1618	2309
618	1620	2306
619	1622	2303
620	1625	2300
621	1627	2297
622	1629	2294
623	1633	2293
624	1636	2291
625	1639	2288
626	1641	2285
627	1643	2282
628	1645	2279
629	1648	2276
630	1651	2273
631	1653	2271
632	1656	2268
633	1658	2265
634	1661	2263
635	1664	2260
636	1666	2258
637	1669	2255
638	1671	2252
639	1674	2250
640	1677	2248
641	1681	2247
642	1684	2245
643	1687	2243
644	1689	2240
645	1692	2237
646	1694	2234
647	1697	2231
648	1701	2230
649	1703	2227
650	1706	2225
651	1708	2222
652	1711	2219
653	1713	2216
654	1716	2214
655	1719	2212
656	1721	2209
657	1724	2206
658	1726	2203
659	1728	2199
660	1731	2197
661	1733	2194
662	1735	2190
663	1739	2189
664	1741	2186
665	1743	2183
666	1746	2180
667	1748	2177
668	1754	2179
669	1758	2178
670	1760	2175
671	1763	2172
672	1765	2169
673	1767	2166
674	1771	2164
675	1773	2161
676	1775	2158
677	1778	2155
678	1780	2152
679	1783	2150
680	1785	2146
681	1787	2143
682	1791	2142
683	1793	2139
684	1796	2137
685	1798	2134
686	1801	2131
687	1803	2128
688	1808	2128
689	1810	2125
690	1813	2122
691	1815	2119
692	1817	2116
693	1820	2114
694	1822	2111
695	1824	2108
696	1827	2105
697	1829	2102
698	1833	2100
699	1835	2097
700	1837	2094
701	1840	2092
702	1843	2089
703	1846	2087
704	1848	2084
705	1851	2082
706	1854	2079
707	1856	2076
708	1858	2073
709	1860	2070
710	1863	2067
711	1865	2064
712	1867	2061
713	1869	2058
714	1872	2055
715	1874	2052
716	1876	2049
717	1878	2046
718	1880	2042
719	1882	2039
720	1885	2037
721	1887	2033
722	1890	2031
723	1892	2028
724	1894	2025
725	1897	2023
726	1899	2019
727	1901	2016
728	1904	2013
729	1906	2010
730	1908	2008
731	1911	2005
732	1913	2002
733	1916	1999
734	1918	1996
735	1920	1993
736	1922	1990
737	1924	1987
738	1927	1984
739	1929	1981
740	1932	1979
741	1937	1978
742	1940	1976
743	1943	1974
744	1945	1971
745	1947	1968
746	1949	1965
747	1951	1961
748	1953	1958
749	1955	1955
750	1957	1952
751	1961	1950
752	1963	1947
753	1965	1944
754	1968	1942
755	1970	1939
756	1973	1936
757	1977	1935
758	1980	1933
759	1983	1930
760	1985	1927
761	1987	1924
762	1990	1922
763	1993	1920
764	1995	1917
765	1998	1914
766	2000	1912
767	2003	1909
768	2006	1907
769	2008	1904
770	2012	1902
771	2014	1899
772	2016	1896
773	2019	1894
774	2021	1890
775	2024	1888
776	2026	1885
777	2028	1882
778	2031	1880
779	2033	1877
780	2036	1874
781	2040	1873
782	2044	1872
783	2048	1870
784	2050	1867
785	2053	1864
786	2056	1863
787	2058	1860
788	2061	1857
789	2063	1854
790	2066	1851
791	2070	1850
792	2072	1847
793	2075	1845
794	2077	1841
795	2079	1838
796	2082	1837
797	2085	1834
798	2087	1831
799	2090	1828
800	2092	1825
801	2094	1823
802	2096	1820
803	2099	1817
804	2101	1814
805	2103	1811
806	2106	1808
807	2108	1805
808	2110	1802
809	2114	1800
810	2116	1797
811	2119	1795
812	2121	1793
813	2124	1790
814	2126	1787
815	2130	1785
816	2132	1782
817	2134	1779
818	2138	1777
819	2140	1775
820	2142	1772
821	2145	1769
822	2149	1768
823	2151	1765
824	2153	1761
825	2155	1758
826	2159	1757
827	2161	1754
828	2163	1751
829	2165	1748
830	2168	1745
831	2171	1743
832	2173	1740
833	2176	1738
834	2179	1735
835	2182	1733
836	2184	1730
837	2186	1727
838	2189	1724
839	2191	1721
840	2193	1718
841	2195	1715
842	2198	1713
843	2200	1710
844	2203	1708
845	2205	1705
846	2208	1702
847	2211	1700
848	2214	1697
849	2216	1695
850	2219	1692
851	2222	1690
852	2224	1687
853	2227	1684
854	2229	1681
855	2235	1681
856	2237	1678
857	2240	1676
858	2243	1673
859	2245	1671
860	2247	1668
861	2250	1665
862	2253	1663
863	2255	1660
864	2257	1657
865	2260	1654
866	2262	1651
867	2265	1649
868	2267	1646
869	2270	1644
870	2272	1641
871	2274	1638
872	2277	1635
873	2279	1632
874	2281	1629
875	2285	1628
876	2287	1625
877	2291	1623
878	2293	1620
879	2295	1617
880	2298	1614
881	2300	1611
882	2302	1609
883	2304	1606
884	2306	1603
885	2311	1601
886	2314	1599
887	2320	1598
888	2323	1596
889	2325	1593
890	2327	1590
891	2330	1588
892	2332	1585
893	2335	1583
894	2337	1580
895	2339	1577
896	2342	1574
897	2344	1571
898	2347	1569
899	2349	1566
900	2351	1563
901	2354	1560
902	2356	1557
903	2358	1555
904	2362	1553
905	2364	1550
906	2367	1547
907	2369	1545
908	2372	1542
909	2375	1540
910	2377	1537
911	2381	1535
912	2383	1532
913	2386	1529
914	2388	1527
915	2391	1524
916	2394	1522
917	2396	1519
918	2399	1516
919	2401	1513
920	2403	1511
921	2406	1508
922	2408	1505
923	2411	1503
924	2414	1500
925	2417	1498
926	2420	1496
927	2423	1493
928	2425	1491
929	2430	1489
930	2432	1486
931	2434	1483
932	2437	1481
933	2439	1478
934	2441	1475
935	2444	1472
936	2446	1469
937	2449	1467
938	2451	1464
939	2453	1461
940	2455	1458
941	2458	1456
942	2460	1453
943	2462	1450
944	2464	1447
945	2467	1444
946	2469	1441
947	2472	1439
948	2475	1437
949	2477	1434
950	2480	1432
951	2483	1429
952	2485	1426
953	2487	1423
954	2489	1420
955	2493	1418
956	2495	1416
957	2497	1413
958	2500	1410
959	2502	1407
960	2504	1404
961	2507	1402
962	2509	1399
963	2513	1397
964	2516	1395
965	2520	1393
966	2522	1390
967	2525	1387
968	2527	1384
969	2529	1382
970	2531	1379
971	2534	1376
972	2536	1373
973	2539	1371
974	2542	1368
975	2544	1366
976	2547	1363
977	2550	1361
978	2552	1358
979	2554	1355
980	2558	1353
981	2560	1350
982	2563	1348
983	2565	1345
984	2567	1342
985	2571	1340
986	2573	1337
987	2576	1335
988	2579	1332
989	2582	1330
990	2585	1327
991	2588	1325
992	2590	1322
993	2593	1319
994	2595	1317
995	2598	1314
996	2601	1312
997	2604	1310
998	2607	1307
999	2609	1304
1000	2612	1302
1001	2614	1299
1002	2616	1296
1003	2620	1294
1004	2622	1291
1005	2625	1289
1006	2628	1286
1007	2630	1283
1008	2633	1281
1009	2636	1278
1010	2639	1276
1011	2641	1273
1012	2644	1271
1013	2647	1268
1014	2649	1265
1015	2652	1263
1016	2654	1260
1017	2657	1258
1018	2660	1255
1019	2662	1252
1020	2665	1250
1021	2668	1247
1022	2671	1245
1023	2673	1242
1024	2679	1241
1025	2681	1238
1026	2683	1236
1027	2685	1233
1028	2688	1230
1029	2690	1227
1030	2692	1224
1031	2695	1222
1032	2697	1219
1033	2699	1216
1034	2702	1213
1035	2704	1211
1036	2707	1208
1037	2710	1206
1038	2712	1203
1039	2714	1200
1040	2717	1198
1041	2719	1195
1042	2722	1192
1043	2724	1190
1044	2728	1188
1045	2730	1185
1046	2732	1182
1047	2735	1179
1048	2737	1176
1049	2741	1174
1050	2743	1172
1051	2747	1170
1052	2749	1167
1053	2752	1164
1054	2754	1162
1055	2757	1159
1056	2760	1157
1057	2763	1154
1058	2765	1151
1059	2767	1148
1060	2770	1146
1061	2772	1143
1062	2775	1141
1063	2779	1138
1064	2781	1136
1065	2784	1133
1066	2786	1130
1067	2788	1128
1068	2791	1125
1069	2793	1122
1070	2797	1120
1071	2799	1117
1072	2802	1115
1073	2804	1112
1074	2806	1109
1075	2809	1107
1076	2811	1104
1077	2814	1101
1078	2816	1099
1079	2819	1096
1080	2821	1093
1081	2823	1090
1082	2827	1088
1083	2829	1085
1084	2831	1083
1085	2834	1080
1086	2836	1077
1087	2840	1075
1088	2842	1072
1089	2845	1070
1090	2848	1067
1091	2850	1064
1092	2854	1062
1093	2856	1060
1094	2859	1057
1095	2862	1054
1096	2864	1052
1097	2866	1049
1098	2869	1046
1099	2872	1044
1100	2874	1041
1101	2877	1039
1102	2880	1036
1103	2882	1033
1104	2886	1031
1105	2890	1029
1106	2893	1027
1107	2896	1024
1108	2898	1021
1109	2900	1019
1110	2904	1016
1111	2906	1014
1112	2910	1011
1113	2912	1009
1114	2915	1006
1115	2917	1003
1116	2919	1001
1117	2923	998
1118	2926	996
1119	2929	993
1120	2931	991
1121	2934	988
1122	2936	985
1123	2939	983
1124	2941	980
1125	2944	977
1126	2947	975
1127	2949	972
1128	2952	970
1129	2954	967
1130	2957	964
1131	2960	962
1132	2962	959
1133	2965	957
1134	2967	954
1135	2970	951
1136	2972	949
1137	2976	946
1138	2979	944
1139	2982	941
1140	2984	939
1141	2986	936
1142	2989	933
1143	2991	931
1144	2994	928
1145	2997	925
1146	2999	923
1147	3002	920
1148	3005	917
1149	3007	915
1150	3011	913
1151	3014	910
1152	3016	907
1153	3018	905
1154	3020	902
1155	3022	899
1156	3026	897
1157	3029	894
1158	3031	891
1159	3033	889
1160	3035	886
1161	3037	883
1162	3040	881
1163	3042	878
1164	3044	875
1165	3047	872
1166	3049	870
1167	3051	867
1168	3054	864
1169	3056	861
1170	3058	859
1171	3060	856
1172	3062	853
1173	3065	851
1174	3068	848
1175	3071	846
1176	3073	843
1177	3076	840
1178	3079	838
1179	3081	835
1180	3083	832
1181	3086	830
1182	3089	827
1183	3093	825
1184	3095	822
1185	3098	820
1186	3101	817
1187	3104	815
1188	3106	812
1189	3108	809
1190	3111	807
1191	3114	804
1192	3117	802
1193	3119	799
1194	3121	796
1195	3124	794
1196	3127	791
1197	3130	789
1198	3132	786
1199	3135	783
1200	3138	781
1201	3140	778
1202	3142	775
1203	3145	773
1204	3148	770
1205	3150	767
1206	3152	765
1207	3155	762
1208	3157	760
1209	3160	757
1210	3163	754
1211	3165	752
1212	3168	749
1213	3174	747
1214	3177	745
1215	3180	742
1216	3182	740
1217	3185	737
1218	3188	734
1219	3190	732
1220	3194	729
1221	3196	727
1222	3199	724
1223	3201	721
1224	3204	719
1225	3206	716
1226	3208	713
1227	3210	711
1228	3213	708
1229	3215	705
1230	3217	703
1231	3219	700
1232	3223	697
1233	3225	695
1234	3227	692
1235	3230	689
1236	3232	687
1237	3234	684
1238	3237	682
1239	3239	679
1240	3241	676
1241	3243	673
1242	3245	671
1243	3248	668
1244	3250	665
1245	3254	663
1246	3257	660
1247	3259	658
1248	3262	655
1249	3265	653
1250	3269	650
1251	3271	648
1252	3274	645
1253	3277	642
1254	3280	640
1255	3282	637
1256	3284	635
1257	3287	632
1258	3289	629
1259	3291	626
1260	3293	624
1261	3295	621
1262	3298	618
1263	3301	616
1264	3303	613
1265	3306	611
1266	3308	608
1267	3310	605
1268	3312	603
1269	3315	600
1270	3317	597
1271	3320	595
1272	3322	592
1273	3324	589
1274	3326	587
1275	3328	584
1276	3331	581
1277	3333	579
1278	3335	576
1279	3340	574
1280	3342	571
1281	3345	568
1282	3347	566
1283	3350	563
1284	3352	560
1285	3354	558
1286	3357	555
1287	3360	553
1288	3363	550
1289	3366	548
1290	3370	545
1291	3372	542
1292	3375	540
1293	3377	537
1294	3379	535
1295	3383	532
1296	3385	529
1297	3388	527
1298	3390	524
1299	3393	522
1300	3395	519
1301	3398	516
1302	3401	514
1303	3403	511
1304	3406	509
1305	3409	506
1306	3411	503
1307	3415	501
1308	3417	498
1309	3420	496
1310	3422	493
1311	3425	490
1312	3427	488
1313	3430	485
1314	3432	482
1315	3435	480
1316	3437	477
1317	3440	475
1318	3442	472
1319	3445	469
1320	3448	467
1321	3451	464
1322	3453	462
1323	3456	459
1324	3459	456
1325	3461	454
1326	3465	451
1327	3468	449
1328	3470	446
1329	3472	443
1330	3476	441
1331	3478	438
1332	3481	436
1333	3483	433
1334	3487	430
1335	3490	428
1336	3492	425
1337	3495	423
1338	3497	420
1339	3500	417
1340	3503	415
1341	3505	412
1342	3508	410
1343	3510	407
1344	3512	404
1345	3515	402
1346	3517	399
1347	3520	397
1348	3523	394
1349	3525	391
1350	3528	389
1351	3531	386
1352	3534	383
1353	3536	381
1354	3540	378
1355	3542	376
1356	3545	373
1357	3547	370
1358	3550	368
1359	3552	365
1360	3555	363
1361	3558	360
1362	3561	357
1363	3563	355
1364	3566	352
1365	3568	350
1366	3571	347
1367	3573	344
1368	3576	342
1369	3579	339
1370	3582	337
1371	3584	334
1372	3587	331
1373	3591	329
1374	3593	326
1375	3596	324
1376	3598	321
1377	3601	318
1378	3603	316
1379	3605	313
1380	3608	310
1381	3611	308
1382	3614	305
1383	3617	303
1384	3624	300
1385	3628	298
1386	3630	295
1387	3633	293
1388	3635	290
1389	3639	288
1390	3643	285
1391	3646	282
1392	3648	280
1393	3650	277
1394	3653	274
1395	3655	272
1396	3659	269
1397	3661	267
1398	3663	264
1399	3665	261
1400	3669	259
1401	3671	256
1402	3675	254
1403	3678	251
1404	3680	248
1405	3684	246
1406	3686	243
1407	3689	241
1408	3692	238
1409	3694	235
1410	3697	233
1411	3699	230
1412	3702	227
1413	3704	225
1414	3706	222
1415	3710	220
1416	3712	217
1417	3714	214
1418	3718	212
1419	3721	209
1420	3723	207
1421	3725	204
1422	3728	201
1423	3731	199
1424	3733	196
1425	3736	193
1426	3740	191
1427	3742	188
1428	3744	186
1429	3749	183
1430	3751	180
1431	3754	178
1432	3756	175
1433	3760	173
1434	3762	170
1435	3765	167
1436	3767	165
1437	3770	162
1438	3773	159
1439	3775	157
1440	3778	154
1441	3780	152
1442	3782	149
1443	3785	146
1444	3787	144
1445	3790	141
1446	3793	138
1447	3797	136
1448	3799	133
1449	3801	131
1450	3804	128
1451	3807	125
1452	3811	123
1453	3813	120
1454	3816	118
1455	3818	115
1456	3821	112
1457	3823	110
1458	3825	107
1459	3828	104
1460	3831	102
1461	3834	99
1462	3836	97
1463	3838	94
1464	3842	91
1465	3844	89
1466	3848	86
1467	3850	83
1468	3854	81
1469	3856	78
1470	3858	76
1471	3861	73
1472	3864	70
1473	3867	68
1474	3870	65
1475	3872	62
1476	3875	60
1477	3877	57
1478	3880	55
1479	3882	52
1480	3885	49
1481	3887	47
1482	3889	44
1483	3892	41
1484	3894	39
1485	3896	36
1486	3900	34
1487	3902	31
1488	3905	28
1489	3907	26
1490	3910	23
1491	3912	20
1492	3915	18
1493	3918	15
1494	3920	13
1495	3923	10
1496	3925	7
1497	3927	5
1498	3931	2
1499	3933	0
